Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,6500.000000,6525.000000,6450.000000,6475.000000,6475.000000,6303500
2020-07-28,6500.000000,6500.000000,6400.000000,6425.000000,6425.000000,9564800
2020-07-29,6425.000000,6450.000000,6350.000000,6400.000000,6400.000000,7944800
2020-07-30,6500.000000,6500.000000,6400.000000,6450.000000,6450.000000,10514000
2020-08-03,6475.000000,6550.000000,6300.000000,6475.000000,6475.000000,12457500
2020-08-04,6650.000000,6800.000000,6500.000000,6750.000000,6750.000000,45557500
2020-08-05,6750.000000,7100.000000,6750.000000,7075.000000,7075.000000,29370600
2020-08-06,7100.000000,7175.000000,6950.000000,7025.000000,7025.000000,15089000
2020-08-07,7025.000000,7075.000000,6850.000000,6875.000000,6875.000000,11677700
2020-08-10,6875.000000,7000.000000,6875.000000,6975.000000,6975.000000,11772200
2020-08-11,6975.000000,7100.000000,6975.000000,7050.000000,7050.000000,12655100
2020-08-12,7050.000000,7150.000000,7000.000000,7050.000000,7050.000000,16834200
2020-08-13,7100.000000,7250.000000,7025.000000,7225.000000,7225.000000,13482600
2020-08-14,7150.000000,7325.000000,7100.000000,7325.000000,7325.000000,6606400
2020-08-18,7350.000000,7400.000000,7250.000000,7250.000000,7250.000000,11570800
2020-08-19,7250.000000,7300.000000,7175.000000,7200.000000,7200.000000,8552800
2020-08-24,7200.000000,7500.000000,7200.000000,7500.000000,7500.000000,10263900
2020-08-25,7500.000000,7850.000000,7500.000000,7850.000000,7850.000000,18916800
2020-08-26,7850.000000,7850.000000,7625.000000,7675.000000,7675.000000,10434100
2020-08-27,7675.000000,7725.000000,7600.000000,7675.000000,7675.000000,7856800
2020-08-28,7700.000000,7700.000000,7600.000000,7625.000000,7625.000000,7054400
2020-08-31,7625.000000,7800.000000,7625.000000,7625.000000,7625.000000,15223500
2020-09-01,7600.000000,7700.000000,7400.000000,7650.000000,7650.000000,15776700
2020-09-02,7525.000000,7750.000000,7525.000000,7750.000000,7750.000000,10946000
2020-09-03,7800.000000,7850.000000,7700.000000,7725.000000,7725.000000,7228900
2020-09-04,7700.000000,7700.000000,7500.000000,7600.000000,7600.000000,7578500
2020-09-07,7600.000000,7800.000000,7600.000000,7800.000000,7800.000000,8595700
2020-09-08,7800.000000,8000.000000,7775.000000,7900.000000,7900.000000,11121800
2020-09-09,7850.000000,7875.000000,7525.000000,7575.000000,7575.000000,12012800
2020-09-10,7500.000000,7500.000000,7050.000000,7250.000000,7250.000000,17395800
2020-09-11,7000.000000,7600.000000,7000.000000,7575.000000,7575.000000,12441000
2020-09-14,7700.000000,7900.000000,7625.000000,7800.000000,7800.000000,13583200
2020-09-15,7800.000000,7825.000000,7600.000000,7675.000000,7675.000000,11969000
2020-09-16,7625.000000,7675.000000,7575.000000,7600.000000,7600.000000,4784000
2020-09-17,7525.000000,7600.000000,7400.000000,7400.000000,7400.000000,7810000
2020-09-18,7425.000000,7600.000000,7400.000000,7525.000000,7525.000000,12208400
2020-09-21,7575.000000,7650.000000,7500.000000,7525.000000,7525.000000,6058000
2020-09-22,7425.000000,7600.000000,7400.000000,7525.000000,7525.000000,5940800
2020-09-23,7450.000000,7575.000000,7425.000000,7425.000000,7425.000000,6002300
2020-09-24,7400.000000,7425.000000,7050.000000,7125.000000,7125.000000,13985400
2020-09-25,7125.000000,7200.000000,7075.000000,7125.000000,7125.000000,10590700
2020-09-28,7150.000000,7200.000000,7000.000000,7000.000000,7000.000000,8872000
2020-09-29,7050.000000,7175.000000,7000.000000,7000.000000,7000.000000,8282300
2020-09-30,7050.000000,7150.000000,7000.000000,7150.000000,7150.000000,6032400
2020-10-01,7100.000000,7175.000000,7100.000000,7175.000000,7175.000000,2470600
2020-10-02,7200.000000,7225.000000,7025.000000,7075.000000,7075.000000,4691800
2020-10-05,7150.000000,7200.000000,7075.000000,7100.000000,7100.000000,2731300
2020-10-06,7175.000000,7325.000000,7175.000000,7225.000000,7225.000000,7241600
2020-10-07,7225.000000,7375.000000,7100.000000,7125.000000,7125.000000,8868400
2020-10-08,7125.000000,7275.000000,7100.000000,7225.000000,7225.000000,6069800
2020-10-09,7225.000000,7275.000000,7200.000000,7225.000000,7225.000000,2322100
2020-10-12,7300.000000,7325.000000,7200.000000,7200.000000,7200.000000,5120500
2020-10-13,7225.000000,7250.000000,7075.000000,7250.000000,7250.000000,8052700
2020-10-14,7225.000000,7250.000000,7100.000000,7125.000000,7125.000000,10279200
2020-10-15,7125.000000,7150.000000,7000.000000,7050.000000,7050.000000,14582800
2020-10-16,7050.000000,7100.000000,7000.000000,7075.000000,7075.000000,10694800
2020-10-19,7125.000000,7150.000000,7100.000000,7150.000000,7150.000000,3912200
2020-10-20,7150.000000,7175.000000,7000.000000,7025.000000,7025.000000,8968700
2020-10-21,7075.000000,7125.000000,7050.000000,7075.000000,7075.000000,5279800
2020-10-22,7075.000000,7225.000000,7025.000000,7225.000000,7225.000000,8964200
2020-10-23,7200.000000,7200.000000,7050.000000,7075.000000,7075.000000,6734900
2020-10-26,7075.000000,7100.000000,7025.000000,7075.000000,7075.000000,6495000
2020-10-27,7050.000000,7075.000000,7000.000000,7000.000000,7000.000000,9447300
2020-11-02,7000.000000,7075.000000,6825.000000,7025.000000,7025.000000,16241000
2020-11-03,7025.000000,7050.000000,6950.000000,7000.000000,7000.000000,6839400
2020-11-04,7050.000000,7075.000000,6950.000000,6950.000000,6950.000000,7124700
2020-11-05,7075.000000,7125.000000,7000.000000,7125.000000,7125.000000,9670300
2020-11-06,7025.000000,7200.000000,7025.000000,7175.000000,7175.000000,17154400
2020-11-09,7175.000000,7275.000000,7150.000000,7200.000000,7200.000000,15842000
2020-11-10,7300.000000,7300.000000,7125.000000,7150.000000,7150.000000,16395800
2020-11-11,7100.000000,7225.000000,7025.000000,7050.000000,7050.000000,15180200
2020-11-12,7050.000000,7200.000000,7050.000000,7175.000000,7175.000000,14050400
2020-11-13,7200.000000,7200.000000,7100.000000,7100.000000,7100.000000,7229400
2020-11-16,7150.000000,7175.000000,7125.000000,7150.000000,7150.000000,8258000
